kospi_ticker,russell_ticker,timelag,counts
003090 KS,AKRO UW,0.0,203
003090 KS,AKYA UW,0.0,97
003090 KS,ALEC UW,0.0,2696
003090 KS,ALHC UW,0.0,21
003090 KS,ALKS UW,0.0,1560
003090 KS,ALLO UW,0.0,824
003090 KS,ALPN UQ,0.0,380
003090 KS,ALVR UW,0.0,206
003090 KS,ALXO UW,0.0,491
003090 KS,AMEH UR,0.0,153
003090 KS,AMLX UW,0.0,17
003090 KS,AMN UN,0.0,1
003090 KS,AMPH UW,0.0,1355
003090 KS,AMRX UN,0.0,389
003090 KS,AMWL UN,0.0,27
003090 KS,ANAB UW,0.0,605
003090 KS,ANGO UW,0.0,281
003090 KS,ANIK UW,0.0,485
003090 KS,ANIP UQ,0.0,533
003090 KS,ANTX UW,13.0,97
003090 KS,AORT UN,0.0,4210
003090 KS,APLS UW,0.0,522
003090 KS,ARCT UQ,0.0,1000
003090 KS,ARQT UW,0.0,505
003090 KS,ARVN UW,0.0,1726
003090 KS,ARWR UW,0.0,1685
003090 KS,ATEC UW,0.0,1447
003090 KS,ATHA UW,0.0,353
003090 KS,ATIP UN,0.0,270
003090 KS,ATRA UW,0.0,2332
003090 KS,ATRC UQ,0.0,3944
003090 KS,ATRI UW,0.0,2603
003090 KS,AUPH UQ,0.0,755
003090 KS,AURA UQ,0.0,244
003090 KS,AVAH UW,0.0,238
003090 KS,AVIR UW,0.0,430
003090 KS,AVNS UN,0.0,1343
003090 KS,AVTE UQ,0.0,1501
003090 KS,AVXL UW,0.0,429
003090 KS,AXGN UR,0.0,909
003090 KS,AXNX UW,0.0,2153
003090 KS,AXSM UQ,0.0,144
003090 KS,BBIO UW,0.0,1269
003090 KS,BBLN UN,0.0,639
003090 KS,BCRX UW,0.0,976
003090 KS,BEAM UW,0.0,1093
003090 KS,BFLY UN,0.0,209
003090 KS,BHVN UN,7.0,347
003090 KS,BKD UN,0.0,4329
003090 KS,BLFS UR,0.0,775
003090 KS,BLUE UW,0.0,980
003090 KS,BNGO UR,0.0,3166
003090 KS,BPMC UW,0.0,115
003090 KS,BTAI UR,0.0,1456
003090 KS,BVS UW,0.0,150
003090 KS,CANO UN,0.0,241
003090 KS,CARA UQ,0.0,3321
003090 KS,CCCC UW,0.0,443
003090 KS,CCRN UW,0.0,22
003090 KS,CDMO UR,0.0,648
003090 KS,CDNA UQ,0.0,1266
003090 KS,CDXS UW,0.0,686
003090 KS,CELL UW,0.0,71
003090 KS,CELU UR,0.0,322
003090 KS,CERE UR,0.0,492
003090 KS,CERS UQ,0.0,2386
003090 KS,CGEM UW,0.0,1410
003090 KS,CHRS UQ,0.0,1878
003090 KS,CLDX UR,0.0,702
003090 KS,CLOV UW,0.0,151
003090 KS,CMAX UW,0.0,6
003090 KS,CMRX UQ,0.0,749
003090 KS,CNMD UN,0.0,3358
003090 KS,COGT UW,0.0,1209
003090 KS,COLL UW,0.0,400
003090 KS,CORT UR,0.0,85
003090 KS,CPRX UR,0.0,4444
003090 KS,CPSI UW,0.0,1390
003090 KS,CRBU UW,0.0,984
003090 KS,CRNX UW,0.0,2442
003090 KS,CRVL UW,0.0,106
003090 KS,CSTL UQ,0.0,355
003090 KS,CTIC UR,0.0,1699
003090 KS,CTKB UW,0.0,646
003090 KS,CUTR UW,0.0,3267
003090 KS,CYH UN,0.0,601
003090 KS,CYRX UR,0.0,645
003090 KS,CYTK UW,0.0,307
003090 KS,DAWN UW,0.0,1016
003090 KS,DCGO UR,0.0,634
003090 KS,DCPH UW,0.0,1195
003090 KS,DICE UQ,0.0,103
003090 KS,DNLI UW,0.0,642
003090 KS,DSGN UW,0.0,1213
003090 KS,DVAX UW,0.0,774
003090 KS,DYN UW,0.0,1435
003090 KS,EBS UN,0.0,1128
003090 KS,EDIT UW,0.0,1201
003090 KS,EGRX UQ,0.0,48
