kospi_ticker,russell_ticker,ks_len,rs_len,corr_r,rmse_r,corr_px,distance_px,rmse_px
011200 KS,UHAL UN,1326,1326,0.072613765,0.027045618,0.838951198,97.5338982,2.860985883
112610 KS,EME UN,2183,2183,0.073943601,0.027620222,0.838276848,39.86296276,1.516989017
298050 KS,SHYF UW,1268,1268,0.132529672,0.031761133,0.83826381,9.897234159,0.61158587
047040 KS,REZI UN,1201,1201,0.135833206,0.031253998,0.838002122,6.502420722,0.368616152
112610 KS,VRSK UW,2183,2183,0.102260389,0.026203402,0.837963006,48.85314027,1.429751546
298050 KS,PNR UN,1268,1268,0.126481457,0.026958787,0.837753426,29.78620002,0.989266067
001040 KS,REVG UN,1645,1645,0.157886642,0.026144508,0.837549099,2.003554794,0.152786281
298050 KS,KFY UN,1268,1268,0.135190629,0.02816466,0.837502313,41.44558305,1.236003567
298050 KS,AGCO UN,1268,1268,0.157574663,0.028120875,0.837420303,15.18072425,0.705894847
112610 KS,RSG UN,2183,2183,0.098933186,0.025714014,0.837038978,45.39347804,1.433013066
112610 KS,BAH UN,2183,2183,0.071309989,0.026854977,0.836669453,36.59418889,1.295350064
298050 KS,FAST UW,1268,1268,0.125598549,0.026036454,0.836545618,19.14824062,0.795244093
011200 KS,ROAD UW,1317,1317,0.068613392,0.033170554,0.836411509,53.76534856,1.994075285
294870 KS,MMM UN,1290,1290,0.147619266,0.022975155,0.836312691,5.754947637,0.422775795
112610 KS,UNP UN,2183,2183,0.096217988,0.026956671,0.83607702,83.61245077,1.949893401
112610 KS,TRTN UN,2183,2183,0.092244952,0.031155204,0.835920631,87.8071137,2.241119203
010620 KS,NPO UN,2183,2183,0.156991917,0.026574134,0.835867344,12.91788752,0.498774493
010620 KS,PWR UN,2183,2183,0.163753489,0.025429338,0.835846626,45.39007769,1.210346247
298020 KS,SHYF UW,1268,1268,0.115342947,0.030998622,0.835410478,4.187981862,0.516240207
298050 KS,OC UN,1268,1268,0.111184934,0.029096447,0.834678512,28.25059634,0.977537323
294870 KS,CSTE UW,1290,1290,0.14047499,0.027911278,0.834553756,2.44648754,0.362829364
112610 KS,ERII UW,2183,2183,0.08018905,0.033135425,0.834491579,22.10247136,1.193146171
298050 KS,UFPI UW,1268,1268,0.146895328,0.028101695,0.834245337,14.95371189,0.702097038
298050 KS,NDSN UW,1268,1268,0.131094923,0.026082927,0.834216998,23.27805573,0.854890052
079550 KS,ASLE UR,1096,1096,0.062476002,0.026405082,0.833980576,6.504065192,0.373794563
001040 KS,CSTE UW,2183,2183,0.067863953,0.02529853,0.833495556,12.58093303,0.556368203
112610 KS,ZWS UN,2183,2183,0.083952282,0.029225007,0.83317479,79.55715278,1.96151049
028050 KS,EGLE UN,1324,1324,0.1354044,0.034532,0.833150999,4.226918515,0.221855337
112610 KS,WM UN,2183,2183,0.094901642,0.025739433,0.832510818,52.44489564,1.486744369
294870 KS,QUAD UN,1290,1290,0.135795509,0.038161504,0.832196211,2.010696765,0.161251194
010780 KS,BLNK UR,1374,1374,0.064420667,0.049479042,0.831847188,179.0110149,5.131433939
112610 KS,OFLX UQ,2183,2183,0.081881343,0.031262601,0.831810146,34.65837408,1.209110166
011200 KS,HLIO UN,1326,1326,0.10172915,0.030197296,0.831760138,102.7920076,3.076453101
003490 KS,TGH UN,2183,2183,0.109102691,0.02987776,0.831207856,4.583502481,0.28314472
