ranking,sector,ticker1,ticker2,corr_px,corr_r,corr_px**2,corr_r**2,corr**2_sum,name1,name2,corr**2_w_sum
1972,Industrials,375500_KS,ACA_UN,0.797311006,0.344858459,0.63570484,0.118927356,0.754632196,Dl E&C Ltd,"Arcosa, Inc.",0.222282853
1973,Industrials,010140_KS,MATW_UW,0.832352191,0.32347495,0.69281017,0.104636043,0.797446213,"Samsung Heavy Industries Co., Ltd",Matthews International Corp Class,0.222270868
1974,Consumer Staples,004370_KS,USFD_UN,0.836038321,-0.321046238,0.698960073,0.103070687,0.802030761,"Nongshim Co., Ltd",US Foods Holding Corp,0.222248564
1975,Consumer Staples,280360_KS,VGR_UN,0.304036436,0.504639694,0.092438155,0.254661221,0.347099376,Lotte Confectionery Co. Ltd,Vector Group Ltd,0.222216608
1976,Financials,016360_KS,HOPE_UW,-0.806574747,0.339288054,0.650562822,0.115116384,0.765679206,"Samsung Securities Co.,Ltd",Hope Bancorp Inc,0.222205672
1977,Financials,HIFS_UQ,175330_KS,0.673824545,0.405264248,0.454039517,0.16423911,0.618278628,Hingham Institution For Savings,"JB Financial Group Co., Ltd",0.222199191
1978,Consumer Discretionary,CZR_UW,031430_KS,0.67016496,0.406751578,0.449121074,0.165446846,0.61456792,Caesars Entertainment Corp,"Shinsegae International Co., Ltd",0.222181692
1979,Financials,NNI_UN,138930_KS,0.702899895,0.392630771,0.494068263,0.154158922,0.648227185,Nelnet Inc Class A,BNK Financial Group Inc,0.22214079
1980,Health Care,000100_KS,SYNH_UW,0.912306128,0.263798709,0.832302471,0.069589759,0.90189223,Yuhan Corporation,Syneos Health Inc,0.222132301
1981,Consumer Discretionary,TMHC_UN,018880_KS,0.876318833,0.292709478,0.767934697,0.085678839,0.853613535,Taylor Morrison Home Corp Class A,Hanon Systems,0.222130011
1982,Industrials,LHX_UN,329180_KS,-0.687963945,0.399087738,0.47329439,0.159271023,0.632565412,"L3Harris Technologies, Inc.","Hyundai Heavy Industries Co., Ltd",0.222075696
1983,Financials,UVE_UN,032830_KS,-0.585087319,0.438147299,0.342327171,0.191973056,0.534300226,Universal Insurance Holdings Inc,"Samsung Life Insurance Co., Ltd",0.222043879
1984,Financials,TOWN_UW,316140_KS,-0.809844536,0.336973223,0.655848173,0.113550953,0.769399125,Towne Bank,Woori Financial Group Inc,0.222010397
