ticker,GICS_SECTOR_NAME,GICS_INDUSTRY_GROUP_NAME,GICS_INDUSTRY_NAME,GICS_SUB_INDUSTRY_NAME
AVAV UW Equity,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
AVB UN Equity,Real Estate,Equity Real Estate Investment,Residential REITs,Multi-Family Residential REITs
AVD UN Equity,Materials,Materials,Chemicals,Fertilizers & Agricultural Che
AVDX UW Equity,Financials,Financial Services,Financial Services,Transaction & Payment Processi
AVGO UW Equity,Information Technology,Semiconductors & Semiconductor,Semiconductors & Semiconductor,Semiconductors
AVID UW Equity,Information Technology,Technology Hardware & Equipmen,"Technology Hardware, Storage &","Technology Hardware, Storage &"
AVIR UW Equity,Health Care,"Pharmaceuticals, Biotechnology",Pharmaceuticals,Pharmaceuticals
AVNS UN Equity,Health Care,Health Care Equipment & Servic,Health Care Equipment & Suppli,Health Care Supplies
AVNT UN Equity,Materials,Materials,Chemicals,Specialty Chemicals
AVNW UW Equity,Information Technology,Technology Hardware & Equipmen,Communications Equipment,Communications Equipment
AVO UW Equity,Consumer Staples,"Food, Beverage & Tobacco",Food Products,Packaged Foods & Meats
AVPT UW Equity,Information Technology,Software & Services,Software,Application Software
AVT UW Equity,Information Technology,Technology Hardware & Equipmen,"Electronic Equipment, Instrume",Technology Distributors
AVTA UW Equity,Financials,Financial Services,Capital Markets,Asset Management & Custody Ban
AVTE UQ Equity,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
AVTR UN Equity,Health Care,"Pharmaceuticals, Biotechnology",Life Sciences Tools & Services,Life Sciences Tools & Services
AVXL UW Equity,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
AVY UN Equity,Materials,Materials,Containers & Packaging,Paper & Plastic Packaging Prod
AWI UN Equity,Industrials,Capital Goods,Building Products,Building Products
AWK UN Equity,Utilities,Utilities,Water Utilities,Water Utilities
AWR UN Equity,Utilities,Utilities,Water Utilities,Water Utilities
AX UN Equity,Financials,Banks,Banks,Regional Banks
AXGN UR Equity,Health Care,Health Care Equipment & Servic,Health Care Equipment & Suppli,Health Care Equipment
AXL UN Equity,Consumer Discretionary,Automobiles & Components,Automobile Components,Automotive Parts & Equipment
AXNX UW Equity,Health Care,Health Care Equipment & Servic,Health Care Equipment & Suppli,Health Care Equipment
AXON UW Equity,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
AXP UN Equity,Financials,Financial Services,Consumer Finance,Consumer Finance
AXS UN Equity,Financials,Insurance,Insurance,Property & Casualty Insurance
AXSM UQ Equity,Health Care,"Pharmaceuticals, Biotechnology",Pharmaceuticals,Pharmaceuticals
AXTA UN Equity,Materials,Materials,Chemicals,Specialty Chemicals
AXTI UW Equity,Information Technology,Semiconductors & Semiconductor,Semiconductors & Semiconductor,Semiconductor Materials & Equi
AYI UN Equity,Industrials,Capital Goods,Electrical Equipment,Electrical Components & Equipm
AYX UN Equity,Information Technology,Software & Services,Software,Application Software
AZEK UN Equity,Industrials,Capital Goods,Building Products,Building Products
AZO UN Equity,Consumer Discretionary,Consumer Discretionary Distrib,Specialty Retail,Automotive Retail
AZPN UW Equity,Information Technology,Software & Services,Software,Application Software
AZTA UW Equity,Health Care,"Pharmaceuticals, Biotechnology",Life Sciences Tools & Services,Life Sciences Tools & Services
AZZ UN Equity,Industrials,Capital Goods,Building Products,Building Products
B UN Equity,Industrials,Capital Goods,Machinery,Industrial Machinery & Supplie
BA UN Equity,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
BAC UN Equity,Financials,Banks,Banks,Diversified Banks
BAH UN Equity,Industrials,Commercial & Professional Serv,Professional Services,Research & Consulting Services
BALL UN Equity,Materials,Materials,Containers & Packaging,"Metal, Glass & Plastic Contain"
BALY UN Equity,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",Casinos & Gaming
